profile,group,memo_len,memo_chunks,hash_inputs,poseidon_permutations,memo_inputs,plain_inputs,total_memo_bytes,total_poseidon_permutations,control,sample_count,total_iters,mean_ns,mean_se_ns,mean_ci_lo_ns,mean_ci_hi_ns,median_ns,median_abs_dev_ns,std_dev_ns,slope_ns,min_iter_ns,max_iter_ns,rel_std_dev
shakedown,zswap_memo_aggregate,,,,,0,,0,0,,50,63565125.0,16.040511601943958,0.049957449380986764,15.946014171025553,16.141613459936387,15.997362350817369,0.265845571682631,0.35768025726560726,16.102186132679353,15.40586701434159,17.32941530438271,0.02229855668832033
shakedown,zswap_memo_aggregate,,,,,1,,1,2,,50,14025.0,76212.58985994046,239.5882667190359,75780.18641012922,76718.4942111212,75477.75609478241,676.3450372184813,1707.2337867242518,77092.96329538836,74918.9409090909,82483.15667311412,0.022400941758595493
shakedown,zswap_memo_aggregate,,,,,2,,32,4,,50,6375.0,161866.40571821242,491.8578658423645,160912.17993371855,162840.59054159885,161757.3168367347,3559.4961881634335,3519.9919484685056,161329.64710541643,154270.5357142857,169199.24242424243,0.021746278561323815
shakedown,zswap_memo_aggregate,,,,,16,,2100,60,,50,1275.0,1541317.2054545777,4717.230998149358,1532227.2284781602,1550687.4671497138,1534335.2254623044,39639.76276375355,33864.00504536385,1531332.1207687827,1498650.0,1612238.142857143,0.021970821402318937
shakedown,zswap_memo_control,0,,,,,,,,absent_statement_value,50,70377450.0,14.428407895429551,0.037979907361498026,14.359786554681412,14.507990336339327,14.345306218188684,0.21479832941738036,0.2717658887400298,14.350011434454116,14.130191915166009,15.67849538453013,0.01883547309652345
shakedown,zswap_memo_control,0,,,,,,,,timer_floor,50,2692098750.0,0.3793739033634417,0.0028562950835420474,0.3739191052008358,0.3851126204549605,0.37068263712930294,0.014851365160070252,0.02036732349134307,0.38297694325582293,0.34663162700381694,0.42322688002715353,0.053686675100134904
shakedown,zswap_memo_statement,1,1,3,2,,,,,,50,14025.0,76298.908099939,155.2804524437304,76004.83606005905,76611.88100445243,76184.61255411255,1059.1513288621472,1110.5249056548012,76169.42290040769,74490.6606060606,80028.40909090909,0.01455492527101694
shakedown,zswap_memo_statement,2,1,3,2,,,,,,50,14025.0,76280.35643545406,268.7620973842361,75828.87239384592,76872.28500731524,75621.87834485204,595.6849271952968,1912.233259008875,76983.81021231535,74840.90909090909,86811.59486166008,0.025068488774392973
shakedown,zswap_memo_statement,30,1,3,2,,,,,,50,14025.0,75951.23363921617,112.28227901944449,75743.11504551917,76182.46273412081,75636.58815426996,432.53405327553025,802.0264875767386,76124.22166146027,75024.87272727273,78098.88277511962,0.010559755900562824
shakedown,zswap_memo_statement,31,1,3,2,,,,,,50,14025.0,76184.2480279939,191.86829323885704,75839.97796364396,76589.8515714068,75788.98002754821,818.5507634420301,1371.9821915273048,76068.4867411447,74968.45454545454,82045.19435736677,0.0180087383814981
shakedown,zswap_memo_statement,32,2,4,2,,,,,,50,14025.0,76479.68685808528,171.73667769871588,76158.1244105735,76831.48855186038,76249.73116717042,962.6940559728555,1221.8608592966161,76838.58987663472,75085.22727272728,80195.68085106384,0.015976279578182446
