profile,group,memo_len,memo_chunks,hash_inputs,poseidon_permutations,memo_inputs,plain_inputs,total_memo_bytes,total_poseidon_permutations,control,sample_count,total_iters,mean_ns,mean_se_ns,mean_ci_lo_ns,mean_ci_hi_ns,median_ns,median_abs_dev_ns,std_dev_ns,slope_ns,min_iter_ns,max_iter_ns,rel_std_dev
shakedown,zswap_memo_statement,93,3,5,3,,,,,,50,12750.0,87383.6289643296,212.8956782548422,87000.32556058395,87832.45820992335,86973.07660619804,986.6943761334634,1528.4774542681405,86890.09967384973,85102.6,94286.475,0.017491576767681188
shakedown,zswap_memo_statement,94,4,6,3,,,,,,50,11475.0,87308.19950389744,415.2622760806422,86585.93540890992,88204.38871726212,86298.76013071896,927.3802445959711,2964.9892441144466,87632.1542095386,85374.3961352657,101291.66666666667,0.033960031943873606
shakedown,zswap_memo_statement,124,4,6,3,,,,,,50,11475.0,86909.74720374313,204.89702775839484,86538.7245106341,87338.04116070698,86473.58472222222,766.0433252888918,1458.7432933623525,86440.90271144762,85499.66666666667,92825.88888888889,0.01678457641744844
shakedown,zswap_memo_statement,125,5,7,4,,,,,,50,10200.0,97408.5881883265,298.9000237037432,96888.19795449903,98049.86119061772,96814.77762195122,546.6907869349255,2137.2406030429966,97737.03510774607,95961.79166666667,106285.34821428571,0.021940987368700256
shakedown,zswap_memo_statement,186,6,8,4,,,,,,50,10200.0,99057.99198696137,325.784159102548,98443.45391366954,99722.06504023794,98280.46883023105,1787.1107462136133,2328.2770542073763,99671.70143855562,96672.56666666667,105216.74519230769,0.02350418181820038
shakedown,zswap_memo_statement,187,7,9,5,,,,,,50,10200.0,108850.99158713635,267.1256042009643,108356.08640915483,109402.5011610908,108460.26745495496,1791.4288362199711,1908.0593527086883,108672.12913803145,106853.125,116351.94642857143,0.017529094819327087
shakedown,zswap_memo_statement,255,9,11,6,,,,,,50,8925.0,122449.44394022637,295.1120802785807,121972.5228377526,123109.04475322198,122231.139009139,1072.9554259007166,2107.4350170697094,123056.92674598552,120172.61904761905,135182.05574912892,0.017210654040196807
shakedown,zswap_memo_statement,256,9,11,6,,,,,,50,8925.0,123572.27108485815,536.5002754299919,122683.17287920932,124755.13718839099,122909.81168831169,1185.1778805822696,3824.841003391948,122775.64339795324,120352.04081632652,144667.01680672268,0.030952259514316093
shakedown,zswap_memo_statement,310,10,12,6,,,,,,50,8925.0,124083.99227150655,718.7561785517975,122847.6167167594,125636.10882320082,122728.28947368421,1927.6107687397378,5142.006012344128,122771.37053997836,119856.85714285714,146305.57142857142,0.04143972093590423
shakedown,zswap_memo_statement,311,11,13,7,,,,,,50,8925.0,129543.1167529143,217.72426635157854,129145.93235368296,129998.93819819948,128920.97448979592,745.3847010524973,1556.6169470356076,129486.60833014394,128210.32142857143,135238.14285714287,0.012016207314238398
shakedown,zswap_memo_statement,496,16,18,9,,,,,,50,6375.0,159777.67754038202,935.5056350897294,158099.09304018778,161752.1328505159,156838.64559386973,3198.4304588695827,6686.043255735119,161916.94794641816,153197.2,186144.96279069767,0.04184591589175713
shakedown,zswap_memo_statement,497,17,19,10,,,,,,50,6375.0,166099.67594567713,1352.03847134606,163804.5583736274,169050.0721876624,163523.30827205884,3311.8730045358216,9642.234429568218,166086.4186464764,160233.35,213368.9076923077,0.05805089248170303
shakedown,zswap_memo_statement,511,17,19,10,,,,,,50,6375.0,167990.94199783917,1441.8595803811772,165394.3214719503,171011.17100523628,163616.67966507177,3242.3989071691803,10312.03246102272,165509.09141525917,160725.89285714287,207484.17,0.06138445524732733
shakedown,zswap_memo_statement,512,17,19,10,,,,,,50,6375.0,168994.44408564363,839.3858842404065,167416.7356249852,170716.3240023247,167280.7337860781,4309.309765910344,5991.10783262617,169699.6385882353,161535.45,185623.71538461538,0.035451507681459486
