profile,group,memo_len,memo_chunks,hash_inputs,poseidon_permutations,memo_inputs,plain_inputs,total_memo_bytes,total_poseidon_permutations,control,sample_count,total_iters,mean_ns,mean_se_ns,mean_ci_lo_ns,mean_ci_hi_ns,median_ns,median_abs_dev_ns,std_dev_ns,slope_ns,min_iter_ns,max_iter_ns,rel_std_dev
shakedown,zswap_memo_aggregate,,,,,0,,0,0,,50,65112975.0,15.421615307878971,0.0285577405540262,15.370398585497629,15.481890378385499,15.352465681577339,0.10833372786678147,0.20360416270461218,15.467428110469337,15.232041652179113,16.36429144882414,0.013202518584456579
shakedown,zswap_memo_aggregate,,,,,1,,1,2,,50,14025.0,77055.05421956231,290.3250216597211,76611.17967376176,77717.94687272969,76571.13880742913,722.6904060645043,2081.833651332234,77085.2406226505,75721.51636363636,90114.15673981191,0.02701748343983008
shakedown,zswap_memo_aggregate,,,,,2,,32,4,,50,7650.0,152489.8907816045,307.47334917936524,151909.50873859235,153111.10845741603,151578.8007330247,1597.5048749835346,2194.2149367008637,152109.3725296059,149373.25,158620.50980392157,0.014389248529552761
shakedown,zswap_memo_aggregate,,,,,16,,2100,60,,50,1275.0,1533971.8411375426,3870.656549298657,1527144.2754307245,1542300.695962902,1528169.3548387098,14266.718787843942,27535.123343754403,1528930.5495864882,1503063.775510204,1659997.2826086956,0.017950214342484457
shakedown,zswap_memo_control,0,,,,,,,,absent_statement_value,50,70702575.0,14.173376681463735,0.037878680496778915,14.103399660185437,14.252194983204198,14.07650620084149,0.16928808741669116,0.2694089450280449,14.12609692808008,13.943006647413984,15.051333561755,0.01900809885201062
shakedown,zswap_memo_control,0,,,,,,,,timer_floor,50,2675196075.0,0.3699496566083631,0.001332017600926702,0.3675175728952814,0.3727239481433764,0.3670808158010956,0.005931391144204314,0.009505091729972421,0.3671750942185011,0.35514352905889335,0.40565797058979525,0.025692932971241332
shakedown,zswap_memo_control,0,,,,,,,,transient_hash_anchor,50,30600.0,32944.78697910986,75.22361572809415,32805.288020650005,33099.20521179431,32782.42771057348,330.4148742695981,537.7869015727421,32970.774405940596,32431.805,34565.78723404255,0.016323884622891943
shakedown,zswap_memo_statement,1,1,3,2,,,,,,50,14025.0,75999.7128604378,402.12040763848177,75496.80614262562,76881.2328824626,75556.48395721926,394.3654980855215,2880.3867094985867,76512.059909991,74291.63636363637,95655.4909090909,0.03789996831682759
shakedown,zswap_memo_statement,2,1,3,2,,,,,,50,14025.0,75538.92996497672,93.94394218588994,75370.0763612548,75737.18572001686,75288.35309172809,247.86866942659506,673.7762380634223,75670.2460719013,74867.96103896105,78549.27272727272,0.008919589387562354
shakedown,zswap_memo_statement,30,1,3,2,,,,,,50,14025.0,75866.90784976377,125.23523316838809,75632.51987685729,76123.88961249379,75571.08982286096,365.29669661116685,896.7690447413947,75898.707021761,73599.72727272728,79464.0,0.01182029253804875
shakedown,zswap_memo_statement,31,1,3,2,,,,,,50,14025.0,76390.61143441069,222.10973226365215,75985.02478364487,76851.90284579645,75729.89393939395,580.688198781637,1587.4811795173832,76356.47035950654,74925.27272727272,82170.45454545454,0.020781103197222102
shakedown,zswap_memo_statement,32,2,4,2,,,,,,50,14025.0,76378.6577971524,214.2515335455182,75986.22754638232,76826.53410616692,75713.9478021978,740.2160017935948,1528.9364240732396,75857.66310372214,75045.03367003366,81705.69960474309,0.020017848809726565
shakedown,zswap_memo_statement,33,2,4,2,,,,,,50,14025.0,76152.38813319235,218.80480634062033,75754.95394294444,76607.55182372179,75480.91098484848,351.57429781674125,1558.4668784881835,76086.19926298512,74920.45454545454,81565.90909090909,0.02046510840556159
shakedown,zswap_memo_statement,61,2,4,2,,,,,,50,14025.0,75891.07521515229,130.99443028349637,75652.23380327132,76163.90653327647,75551.13636363635,412.0594492090472,934.4404979243598,76066.06470482342,74989.56818181818,79226.22884012539,0.012312916838708735
shakedown,zswap_memo_statement,62,2,4,2,,,,,,50,14025.0,75958.5770772674,215.12718004051376,75599.27786515515,76430.88363310843,75489.33699665905,275.1636313615802,1540.2450753922042,75805.43351511622,75005.68181818182,83697.44318181818,0.02027743455259068
shakedown,zswap_memo_statement,63,3,5,3,,,,,,50,12750.0,86489.2925009687,115.49097517182358,86283.82553414772,86735.35171361662,86216.20277777777,321.5678601901415,820.2122169273089,86577.5759370996,85766.2,89983.43023255814,0.009483396073775517
shakedown,zswap_memo_statement,64,3,5,3,,,,,,50,12750.0,86674.65635688428,122.24783489470923,86451.8064880192,86928.43586312732,86486.02541666667,634.0212014395347,874.6730514869042,86727.43504251602,85664.6,89730.78163265306,0.010091451045221616
shakedown,zswap_memo_statement,92,3,5,3,,,,,,50,11475.0,88749.66334121174,488.4834164024624,87868.35997902714,89767.46508318017,87182.29166666666,1269.1620039830125,3480.0275873828377,88255.86348540736,85951.16931216931,102110.95925925925,0.039211727192736905
shakedown,zswap_memo_statement,93,3,5,3,,,,,,50,12750.0,87469.10756610385,216.66766614381766,87073.09886961713,87921.228497934,87044.94831932773,1159.5403420949588,1543.6314881046135,87853.17705998835,85882.29166666667,93708.834,0.017647733366183374
shakedown,zswap_memo_statement,94,4,6,3,,,,,,50,12750.0,86955.48378522776,292.1355356061284,86466.80754437388,87598.94800509428,86212.31617647059,370.0835668610839,2087.3963341241547,86759.29951310426,85690.78947368421,98277.5,0.024005344381497967
shakedown,zswap_memo_statement,124,4,6,3,,,,,,50,11475.0,87402.85419271162,452.3106947685362,86699.22347637403,88426.27627063492,86537.51241134752,686.7882302313168,3241.304676135606,87247.49300200609,85870.95138888889,107010.02777777778,0.03708465479844585
shakedown,zswap_memo_statement,125,5,7,4,,,,,,50,11475.0,97626.6189926977,143.42934784720703,97354.69842557308,97917.65614455205,97243.42196078431,729.0603703746735,1023.7645565698932,97785.47645117453,96470.89682539682,100629.66666666667,0.01048653089836563
shakedown,zswap_memo_statement,186,6,8,4,,,,,,50,11475.0,98007.20263778367,233.2725218362356,97580.75983158634,98493.63462968763,97360.7382154882,892.5041824376938,1667.0248578209546,98361.85558791173,96559.89583333333,104287.67432950191,0.017009207618974367
shakedown,zswap_memo_statement,187,7,9,5,,,,,,50,10200.0,109635.57609901759,572.6621423313283,108616.63301627901,110853.83477861727,108105.73157675195,697.0850587218242,4090.282587803314,109629.02585032032,107033.85416666667,124252.71354166667,0.03730798645240088
shakedown,zswap_memo_statement,255,9,11,6,,,,,,50,8925.0,120109.06884022882,358.48059594309484,119458.79771745665,120854.16824936599,119386.79553571428,1312.697987944944,2560.3911588879837,119598.77044679258,118087.52380952382,129211.15037593985,0.02131721762237505
shakedown,zswap_memo_statement,256,9,11,6,,,,,,50,8925.0,118789.27414782265,181.37518592084643,118484.58251828713,119188.23005741237,118366.28344671201,443.58596310770895,1292.6320120128744,118820.840885265,117816.65714285715,125988.0,0.010881723297713808
shakedown,zswap_memo_statement,310,10,12,6,,,,,,50,8925.0,119359.26671279174,216.93028941740604,118961.49792316195,119808.06096963355,118843.06553287982,946.4512841021103,1548.0743559568625,119518.18380564106,117645.40816326531,125059.57142857143,0.012969871536509326
shakedown,zswap_memo_statement,311,11,13,7,,,,,,50,8925.0,131238.04572671468,306.7036207406975,130664.81121605946,131864.56087276043,130262.36948051948,1461.8799546586836,2181.2486416524125,131580.35860886928,128146.42857142857,138330.04511278195,0.016620551072473032
shakedown,zswap_memo_statement,496,16,18,9,,,,,,50,7650.0,151282.3367568152,191.0014784117089,150930.6918992995,151676.3792004886,150665.99131944444,483.41515416237564,1370.6524578561623,151653.2508522617,150052.78333333333,156062.5,0.009060227963423595
shakedown,zswap_memo_statement,497,17,19,10,,,,,,50,6375.0,162737.0509314674,320.7762940038288,162149.13301917168,163401.22815379486,161848.95714285714,1382.8942668000866,2285.3115667971347,163701.42010017473,160527.1,169807.34285714285,0.014042970262251684
shakedown,zswap_memo_statement,511,17,19,10,,,,,,50,6375.0,162727.6978221631,525.0129605620751,161843.71181725254,163876.1122457742,161518.70629370632,677.4092590225621,3746.7711929950565,162326.62931624928,160091.7,183039.16,0.02302479075866798
shakedown,zswap_memo_statement,512,17,19,10,,,,,,50,6375.0,162646.9871364587,467.9877604957428,161835.16362643163,163657.33880740692,161478.393006993,808.394174658042,3333.8235070720793,163011.98777868375,160734.5285714286,178737.12121212122,0.020497296419484518
