profile,group,memo_len,memo_chunks,hash_inputs,poseidon_permutations,memo_inputs,plain_inputs,total_memo_bytes,total_poseidon_permutations,control,sample_count,total_iters,mean_ns,mean_se_ns,mean_ci_lo_ns,mean_ci_hi_ns,median_ns,median_abs_dev_ns,std_dev_ns,slope_ns,min_iter_ns,max_iter_ns,rel_std_dev
shakedown,zswap_memo_aggregate,,,,,0,,0,0,,50,61914000.0,15.609759811173086,0.02124617308363568,15.567643673603484,15.650906213951373,15.611030652488642,0.12409612225826466,0.15197100682910702,15.607251064795403,15.23344659527732,15.95002471169687,0.009735640308848947
shakedown,zswap_memo_aggregate,,,,,1,,1,2,,50,14025.0,75297.35285841563,114.23487354359956,75090.9981001154,75537.08128628184,75005.10557993731,456.87953409464757,813.7135427856792,75353.99250489754,74411.36363636363,78444.18449197861,0.010806668652956958
shakedown,zswap_memo_aggregate,,,,,2,,32,4,,50,7650.0,150438.3227879994,250.14618066358557,150001.53838503626,150977.82887202536,149817.6666666667,875.5630412939175,1785.1506644339443,150711.06494272957,149078.7037037037,159173.38709677418,0.011866329212866945
shakedown,zswap_memo_aggregate,,,,,16,,2100,60,,50,1275.0,1510134.3005110768,2885.5760290742437,1505015.8919921017,1516251.4597733319,1503218.0555555555,7859.180093805072,20560.478229135704,1512695.7792428655,1493519.5882352942,1585529.16,0.013614999819669942
shakedown,zswap_memo_control,0,,,,,,,,absent_statement_value,50,69646875.0,14.104810676333825,0.027931338328482793,14.054679145493303,14.163520714858771,14.05068066627641,0.08690142901448497,0.1992500004011328,14.123761218985273,13.861180778032036,14.83760457665904,0.01412638602341897
shakedown,zswap_memo_control,0,,,,,,,,timer_floor,50,2723120775.0,0.3665711982743648,0.0009463328115624594,0.3648362844527446,0.3685428390619867,0.3653625625088186,0.0030581767718946347,0.006749870964668923,0.3676817850051596,0.35240994022582584,0.39313894114193537,0.018413533295697983
shakedown,zswap_memo_control,0,,,,,,,,transient_hash_anchor,50,30600.0,33340.461387597876,58.90656456470086,33239.31206903499,33467.96860947187,33218.98490338164,185.7193980323758,419.91027720127596,33270.98427683945,33018.661458333336,35312.34090909091,0.012594615063049966
shakedown,zswap_memo_statement,1,1,3,2,,,,,,50,14025.0,76484.26975699402,192.20548830952208,76147.31876075605,76896.11333670124,76083.47727272726,708.5245208922411,1371.277839302506,76487.40347117065,75250.0,83178.09090909091,0.01792888712488637
shakedown,zswap_memo_statement,2,1,3,2,,,,,,50,14025.0,75865.15105325119,106.4363576129335,75677.80891061117,76092.07817396044,75634.83863636364,264.57644053972444,762.0445624590137,75809.24876158204,75131.05454545455,79340.90909090909,0.010044724776519857
shakedown,zswap_memo_statement,30,1,3,2,,,,,,50,14025.0,76085.9484158665,111.83050456923463,75876.93586222948,76313.8759061603,75708.46531468531,555.1952709589102,799.9792786029169,76051.46797691534,75302.57454545454,78612.9911308204,0.010514152682048899
